molecule_chembl_id,canonical_smiles,standard_value
CHEMBL40166,CC(C)CC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,45.0
CHEMBL38648,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(CCc2ccncc2)cc1,430.0
CHEMBL41310,CCOC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,33.0
CHEMBL290982,CCC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,38.0
CHEMBL38625,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(NC(=O)OC(C)(C)C)cc2)cc1,87.0
CHEMBL288891,CCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,57.0
CHEMBL39136,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(OCc2ccncc2)cc1,260.0
CHEMBL18520,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,67.0
CHEMBL278737,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,220.0
CHEMBL279377,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,413.0
CHEMBL19045,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1,27.0
CHEMBL18282,Cc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OCCCO)cc1,56.0
CHEMBL429973,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccccc1,44.0
CHEMBL279128,CNC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,88.0
CHEMBL279560,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(O)cc1,610.0
CHEMBL275580,CCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,3020.0
CHEMBL278275,CCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,482.0
CHEMBL278506,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,180.0
CHEMBL18743,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,43.0
CHEMBL18103,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12,28.0
CHEMBL279342,COC(=O)c1c(NC(=O)Nc2ccccc2)cc(C(C)(C)C)n1C,947.0
CHEMBL19086,Cc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OC(C)C)cc1,741.0
CHEMBL18942,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(N)cc1,750.0
CHEMBL19057,COC(=O)c1c(NC(=O)Nc2cccc(Cl)c2Cl)cc(C(C)(C)C)n1C,387.0
CHEMBL18752,CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)NC)cc1,119.0
CHEMBL18763,CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OC)cc1,660.0
CHEMBL18286,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,210.0
CHEMBL278719,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,73.0
CHEMBL18764,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,33.0
CHEMBL18525,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,32.0
