,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
126,CHEMBL152440,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2Br)cc1,active,367.24600000000004,5.005900000000002,2.0,3.0,7.267606240177032
127,CHEMBL152820,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1C,active,316.4040000000001,4.860240000000004,2.0,3.0,7.886056647693163
128,CHEMBL155508,CCNC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,407.9010000000002,5.764420000000004,3.0,3.0,7.6777807052660805
129,CHEMBL153012,CCOC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,408.8850000000001,6.1914200000000035,2.0,4.0,7.376750709602099
130,CHEMBL155448,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)c(Cl)c1,active,322.7950000000001,4.8968000000000025,2.0,3.0,6.856985199745905
132,CHEMBL358548,COn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,319.339,3.9628000000000023,0.0,4.0,7.167491087293763
133,CHEMBL342503,CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,317.367,4.924300000000004,0.0,3.0,7.619788758288394
134,CHEMBL141999,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCOCC3)c3cccnc23)cc1,active,402.4730000000001,4.236600000000003,0.0,5.0,6.732828271596986
135,CHEMBL143389,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCC3)c3cccnc23)cc1,active,386.4740000000001,5.000200000000004,0.0,4.0,6.66354026615147
137,CHEMBL142753,OCCCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,376.43500000000006,4.615400000000004,3.0,4.0,8.301029995663981
139,CHEMBL356355,OCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,333.36600000000004,3.8967000000000027,1.0,4.0,6.764471553092451
140,CHEMBL336002,Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,303.34,4.441400000000003,0.0,3.0,7.008773924307505
141,CHEMBL142381,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cncnc23)cc1,active,290.30100000000004,3.8260000000000023,1.0,3.0,6.048176964684088
142,CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,362.408,4.223700000000003,3.0,4.0,9.0
143,CHEMBL143476,OCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,348.38100000000003,3.835200000000002,3.0,4.0,8.522878745280337
144,CHEMBL143307,Fc1ccc(-c2c(-c3ccncc3)[nH]c3nccnc23)cc1,active,290.30100000000004,3.8260000000000014,1.0,3.0,7.275724130399211
145,CHEMBL358537,C[C@@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,362.408,4.223700000000003,3.0,4.0,9.0
146,CHEMBL313417,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,active,297.358,3.856900000000002,0.0,4.0,6.3979400086720375
147,CHEMBL343481,O=C(O)Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,inactive,347.34900000000005,3.9890000000000025,1.0,4.0,4.627087997029894
148,CHEMBL344955,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cccnc23)cc1,active,289.31300000000005,4.431000000000003,1.0,2.0,8.187086643357144
149,CHEMBL142523,Fc1ccc(-c2c(-c3ccncc3)oc3cccnc23)cc1,active,290.297,4.695900000000003,0.0,3.0,7.0655015487564325
150,CHEMBL356756,COCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,347.39300000000003,4.550800000000003,0.0,4.0,7.6777807052660805
152,CHEMBL142367,CCC(O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,376.43500000000006,4.613800000000003,3.0,4.0,8.522878745280337
153,CHEMBL302379,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1,active,328.199,4.922900000000002,2.0,3.0,7.236572006437063
