"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"138",8.30102999566398,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,10,9,3
"139",5.50863830616573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,8,3,2
"140",6.76447155309245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,6,2,0
"141",7.0087739243075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,7,1,0
"142",6.04817696468409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,21,0,0,8,2,0
"143",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,9,7,3
"144",8.52287874528034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,21,0,0,8,2,0
"145",7.27572413039921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,9,6,3
"146",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,9,7,3
"147",6.39794000867204,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,17,0,0,9,3,0
"148",4.62708799702989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,9,3,2
"149",8.18708664335714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,6,2,0
"150",7.06550154875643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,21,0,0,6,0,0
"151",7.67778070526608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,21,0,0,9,4,3
"152",5.74472749489669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,21,0,0,4,2,0
"153",8.52287874528034,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,7,5
"154",7.23657200643706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,21,0,0,9,8,4
"155",5.95860731484178,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,8,7
"156",6.43179827593301,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,9,5
"157",6.92081875395237,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,11,0,0,7,7,5
"158",6.92081875395237,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,9,6
"159",6.92081875395237,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,8,6
"160",6.03621217265444,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,11,0,0,7,7,5
"161",6.58502665202918,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,8,5
"162",6.53760200210104,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,7,5
"163",7.44369749923271,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,11,0,0,7,7,5
"164",6.79588001734408,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,7,5
"165",6.69897000433602,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11,0,1,7,7,6
"166",6.72124639904717,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,11,0,0,7,7,5
