,hv,std.error,Label,,,,,,,,,,
292,0.000464726,-0.324630163,Internal,,,,,,,,,,
293,0.000613343,-0.073483024,Internal,,,,,,,,,,
294,0.001078545,-0.869892333,Internal,,,,,,,,,,
295,0.000834837,0.090030887,Internal,,,,,,,,,,
296,0.000656647,0.695846353,Internal,,,,,,,,,,
297,0.00082727,0.391685099,Internal,,,,,,,,,,
298,0.000555631,0.622873893,Internal,,,,,,,,,,
299,0.001260439,-1.246365712,Internal,,,,,,,,,,
300,0.000459946,0.078236743,Internal,,,,,,,,,,
301,0.000514291,-0.130465402,Internal,,,,,,,,,,
302,0.0004713,-0.162465771,Internal,,,,,,,,,,
303,0.000473627,0.579115977,Internal,,,,,,,,,,
304,0.000457532,0.023411432,Internal,,,,,,,,,,
305,0.0004713,-0.43905772,Internal,,,,,,,,,,
306,0.000459946,0.509046344,Internal,,,,,,,,,,
307,0.000508325,0.300022239,Internal,,,,,,,,,,
308,0.001834489,2.837167083,Internal,,,,,,,,,,
309,0.000465973,0.111094673,Internal,,,,,,,,,,
310,0.000476156,-0.239160658,Internal,,,,,,,,,,
311,0.000676595,0.737993295,Internal,,,,,,,,,,
312,0.000528615,-0.434154444,Internal,,,,,,,,,,
313,0.000559098,-1.871770809,Internal,,,,,,,,,,
314,0.00087483,0.212160362,Internal,,,,,,,,,,
315,0.000458408,-0.257892226,Internal,,,,,,,,,,
316,0.000602676,0.032467044,Internal,,,,,,,,,,
317,0.000481441,-0.529518428,Internal,,,,,,,,,,
318,0.000618665,0.759868015,Internal,,,,,,,,,,
319,0.000519275,0.068889579,Internal,,,,,,,,,,
320,0.000626382,-0.257716335,Internal,,,,,,,,,,
321,0.000475837,0.293088285,Internal,,,,,,,,,,
322,0.000484715,-0.563706801,Internal,,,,,,,,,,
323,0.001834489,2.086523198,Internal,,,,,,,,,,
324,0.000769232,-0.617643901,Internal,,,,,,,,,,
325,0.000473447,-0.329018931,Internal,,,,,,,,,,
326,0.000457461,-0.154931257,Internal,,,,,,,,,,
327,0.001078545,-0.299327541,Internal,,,,,,,,,,
328,0.002272536,0.468077191,Internal,,,,,,,,,,
329,0.000728586,-0.565493122,Internal,,,,,,,,,,
330,0.00087483,0.541251539,Internal,,,,,,,,,,
331,0.00048235,1.249761912,Internal,,,,,,,,,,
332,0.000459946,0.149023863,Internal,,,,,,,,,,
333,0.004161268,2.363955113,Internal,,,,,,,,,,
334,0.000769232,-0.29225683,Internal,,,,,,,,,,
335,0.002054439,-1.958558054,Internal,,,,,,,,,,
336,0.000462428,-0.116300471,Internal,,,,,,,,,,
337,0.000528615,-1.178859564,Internal,,,,,,,,,,
338,0.0019336,1.867556386,Internal,,,,,,,,,,
339,0.001245652,0.640365091,Internal,,,,,,,,,,
340,0.000671088,0.203374629,Internal,,,,,,,,,,
341,0.000626382,-0.233976241,Internal,,,,,,,,,,
342,0.000700103,-0.459678161,Internal,,,,,,,,,,
343,0.000459488,0.913843521,Internal,,,,,,,,,,
344,0.001382651,-0.38805174,Internal,,,,,,,,,,
345,0.000928653,-0.322841831,Internal,,,,,,,,,,
346,0.000466101,-1.535605115,Internal,,,,,,,,,,
347,0.000682144,-0.172136647,Internal,,,,,,,,,,
348,0.000553882,0.535532171,Internal,,,,,,,,,,
349,0.000469372,-0.155640184,Internal,,,,,,,,,,
350,0.000547597,-0.21231654,Internal,,,,,,,,,,
351,0.000526152,-1.455338612,Internal,,,,,,,,,,
352,0.000465973,0.111094673,Internal,,,,,,,,,,
353,0.001795072,-0.189587968,Internal,,,,,,,,,,
354,0.000762689,1.701577146,Internal,,,,,,,,,,
355,0.001144427,-1.168355942,Internal,,,,,,,,,,
356,0.001533573,-1.251841398,Internal,,,,,,,,,,
357,0.001298956,0.155963524,Internal,,,,,,,,,,
358,0.000459696,-0.219613678,Internal,,,,,,,,,,
359,0.00048418,0.085008173,Internal,,,,,,,,,,
360,0.000560664,-0.518506633,Internal,,,,,,,,,,
361,0.002321696,-0.594105285,Internal,,,,,,,,,,
362,0.000672588,1.545088995,Internal,,,,,,,,,,
363,0.000470404,0.002188485,Internal,,,,,,,,,,
364,0.000592673,-1.358517716,Internal,,,,,,,,,,
